time,thrust
0.445,432.8770357
0.446,429.7026261
0.447,427.7625934
0.448,430.860424
0.449,432.9374922
0.45,430.5587612
0.451,428.4409553
0.452,428.1180853
0.453,431.198712
0.454,433.1453177
0.455,430.1386457
0.456,426.9369968
0.457,428.6556513
0.458,431.4180066
0.459,430.8600172
0.46,429.4905792
0.461,429.1820458
0.462,430.7458656
0.463,432.5519731
0.464,429.6341878
0.465,426.6303832
0.466,428.1784328
0.467,429.861246
0.468,427.7993526
0.469,424.3912573
0.47,424.0053065
0.471,426.3433
0.472,426.8218431
0.473,423.7592586
0.474,421.4292718
0.475,423.4862689
0.476,424.6687365
0.477,422.0935947
0.478,420.3026621
0.479,420.690885
0.48,421.7701294
0.481,420.6659175
0.482,415.9316915
0.483,414.1350243
0.484,416.0386203
0.485,418.1386271
0.486,414.6875222
0.487,411.224948
0.488,412.8446803
0.489,415.4995115
0.49,414.2806073
0.491,412.0251705
0.492,410.6844055
0.493,411.4138382
0.494,412.9762244
0.495,410.034067
0.496,408.0252188
0.497,408.9496286
0.498,410.0389086
0.499,408.1705587
0.5,405.8735459
0.501,406.227361
0.502,407.9531839
0.503,407.7407053
0.504,405.38778
0.505,403.1724856
0.506,406.2602805
0.507,409.4928747
0.508,406.2439151
0.509,402.9476449
0.51,401.510825
0.511,402.5026166
0.512,403.0886838
0.513,401.8583102
0.514,399.949818
0.515,400.1975426
0.516,401.7240874
0.517,398.0823064
0.518,396.8117905
0.519,399.8422393
0.52,403.6153213
0.521,403.0042867
0.522,399.8270098
0.523,397.6762298
0.524,398.1719768
0.525,400.6834425
0.526,399.0975226
0.527,397.4900978
0.528,398.2639738
0.529,398.5317696
0.53,397.1809691
0.531,395.9477282
0.532,397.0742833
0.533,398.9162322
0.534,401.2456237
0.535,398.8668926
0.536,397.0157466
0.537,398.6082395
0.538,401.261637
0.539,401.1609835
0.54,399.2524913
0.541,398.96833
0.542,397.6777429
0.543,398.7942624
0.544,399.6598923
0.545,399.5406013
0.546,399.6291903
0.547,400.354322
0.548,397.1311682
0.549,396.9244243
0.55,399.3369678
0.551,401.4341072
0.552,402.5004488
0.553,401.910919
0.554,401.2826805
0.555,401.0501308
0.556,402.0576925
0.557,401.4265868
0.558,400.8599954
0.559,403.5678719
0.56,404.7116308
0.561,401.5931338
0.562,399.3692374
0.563,402.1961072
0.564,405.2537954
0.565,406.7559681
0.566,405.0137798
0.567,402.7497411
0.568,403.4003228
0.569,407.4529675
0.57,411.0884186
0.571,410.7684159
0.572,409.4247836
0.573,407.929184
0.574,409.2105738
0.575,408.7185325
0.576,407.0494606
0.577,407.9365953
0.578,411.017222
0.579,411.8025673
0.58,410.4345628
0.581,409.9224504
0.582,411.0963161
0.583,413.3224845
0.584,413.5558726
0.585,412.7498609
0.586,413.0793039
0.587,415.26533
0.588,414.6786675
0.589,412.4906125
0.59,412.3827907
0.591,413.3559448
0.592,414.3434353
0.593,413.9746884
0.594,413.6962617
0.595,414.4859079
0.596,416.7034744
0.597,416.5569439
0.598,414.9523865
0.599,415.8810972
0.6,417.0578302
0.601,417.1980307
0.602,415.9877284
0.603,415.5673699
0.604,416.5835335
0.605,419.0347857
0.606,419.1033035
0.607,417.7295645
0.608,418.0231661
0.609,420.5848097
0.61,421.6511513
0.611,419.788536
0.612,419.9774808
0.613,420.0330957
0.614,420.277953
0.615,420.5801566
0.616,422.0120802
0.617,422.5278983
0.618,423.5239908
0.619,421.0563731
0.62,419.0819327
0.621,419.6852037
0.622,422.206705
0.623,422.7841703
0.624,421.4749458
0.625,420.5040638
0.626,421.0958656
0.627,422.4776113
0.628,422.1733788
0.629,420.1129191
0.63,419.877502
0.631,422.1782205
0.632,422.3413595
0.633,419.6457907
0.634,419.4247102
0.635,421.3942544
0.636,422.5853239
0.637,422.1405933
0.638,420.6550292
0.639,417.5322312
0.64,414.6201805
0.641,414.4091356
0.642,415.3048723
0.643,417.5840859
0.644,417.211038
0.645,416.3333435
0.646,415.5072607
0.647,414.3973142
0.648,414.4099194
0.649,415.0203588
0.65,415.523274
0.651,415.4297888
0.652,414.3442144
0.653,413.4349795
0.654,413.3902386
0.655,413.9275615
