time [sec],pos_east [m],pos_north [m],pos_up [m],vel_east [m/s],vel_north [m/s],vel_up [m/s],altitude [km],downrange [km],vel_air_east [m/s],vel_air_north [m/s],vel_air_up [m/s],vel_air_abs [m/s]
0.13,0.03744058145871031,0.0058630385924055934,1.0852242189780652,0.1741389630910248,0.027269433894078734,5.047459543931376,0.0010852242189780651,3.7896864797795086E-5,-1.2329963032273363,-0.1930820683991676,5.047459543931376,5.199462319945546
0.14,0.039255327587214166,0.006147220252313053,1.1378250700658332,0.18880868988000088,0.029566651804507404,5.472665087673926,0.0011378250700658332,3.9733726993700774E-5,-1.2332052454386768,-0.19311478787629488,5.472665087673926,5.613212240822454
0.15,0.04121736637012057,0.006454467326364583,1.194695234011669,0.20362705313898152,0.03188714556498762,5.902178895091553,0.001194695234011669,4.171967687981121E-5,-1.233882971115086,-0.19322091688500792,5.902178895091553,6.032869733285629
0.16,0.04332886661608912,0.006785119440932836,1.2558975742539065,0.21871425595065938,0.0342497384759409,6.339485081319536,0.0012558975742539065,4.385690969576592E-5,-1.2348440513033836,-0.19337141802614538,6.339485081319536,6.461524853517299
0.17,0.04559152841274429,0.0071394428226351486,1.3214813682394395,0.23380342399604817,0.03661263913428061,6.776848230317218,0.0013214813682394396,4.614714624792899E-5,-1.2362905073223815,-0.19359792699398698,6.776848230317218,6.89141250489226
0.18,0.048004490838847134,0.007517302654803283,1.3914216619600033,0.24875459859590304,0.03895393059572372,7.210211606252648,0.0013914216619600034,4.8589515123129914E-5,-1.238284388546471,-0.1939101604612583,7.210211606252648,7.3183400292818055
0.19,0.05056599968305951,0.007918424235272527,1.4656676091799035,0.2635034353734607,0.04126353679976397,7.637710171957651,0.0014656676091799035,5.1182240731692534E-5,-1.2408137124250345,-0.19430624201060778,7.637710171957651,7.74028360303753
0.2,0.053274866557810635,0.008342621467515564,1.544184764200834,0.27822595374321935,0.043569021651127395,8.06444589231048,0.001544184764200834,5.392412020332628E-5,-1.2436378929107614,-0.19474849687243462,8.06444589231048,8.162098365966989
0.21,0.05612913606100568,0.008789588143735963,1.6269164492248427,0.29260968525782055,0.045821453896761975,8.481361794541796,0.0016269164492248428,5.6813174305713566E-5,-1.2470072732031507,-0.19527612774559702,8.481361794541796,8.574768672996496
0.22,0.059126318147340734,0.009258934333245018,1.713790489692537,0.30678355336930346,0.04804102241048648,8.892194755780535,0.001713790489692537,5.98468826477027E-5,-1.250735028975607,-0.1958598787212884,8.892194755780535,8.981860986428714
0.23,0.062263957664708394,0.009750275569482785,1.8047357224321814,0.32067539297510433,0.05021642643881709,9.294853053248469,0.0018047357224321814,6.302276015657718E-5,-1.254842840966579,-0.19650314491254606,9.294853053248469,9.38123325170886
0.24,0.06553899951620128,0.010263133437040798,1.8996635947283529,0.334282777171859,0.052347285938829,9.68926634257045,0.001899663594728353,6.633771450337384E-5,-1.2592859046401692,-0.19719891011628635,9.68926634257045,9.772746321124119
0.25,0.0689483995229903,0.010797031230236035,1.99848587032874,0.347576915185087,0.05442909239555507,10.074600116254018,0.00199848587032874,6.978866441026495E-5,-1.2640521575202186,-0.19794528539915182,10.074600116254018,10.1555195679674
0.26,0.07248973084992762,0.011351588916826073,2.101132206835461,0.3606632414026976,0.056478356393532055,10.453910415279692,0.002101132206835461,7.337315346658856E-5,-1.2690040052755378,-0.1987207240638844,10.453910415279692,10.53252600577236
0.27,0.07616148264220793,0.011926569903262263,2.207558811760201,0.37367721471837767,0.05851629022942918,10.831123548117523,0.002207558811760201,7.708965240495472E-5,-1.2739827231437735,-0.19950037047600971,10.831123548117523,10.907615215585613
0.28,0.0799639981256113,0.012522027937267428,2.3177756335843824,0.3868541702319095,0.060579746396407994,11.213060758987266,0.0023177756335843827,8.093850863398999E-5,-1.278741590038479,-0.20024558914443635,11.213060758987266,11.287515667090169
0.29,0.08389947289593325,0.013138306839967754,2.431846312177888,0.4003057058601396,0.06268620066187947,11.602956740231583,0.0024318463121778882,8.492194450692106E-5,-1.2831675203523534,-0.20093867133564536,11.602956740231583,11.675422919561024
0.3,0.087970980075112,0.01377588784941621,2.549859922715978,0.41404081650704255,0.06483706159021631,12.001072211296066,0.002549859922715978,8.904307059741059E-5,-1.2872540483822192,-0.20157860454753934,12.001072211296066,12.071594390950617
0.31,0.09218112972626481,0.014435179690589503,2.671892118503101,0.42805171675126247,0.06703111001696946,12.40718150987844,0.002671892118503101,9.330452877706456E-5,-1.2910092494112189,-0.2021666533357118,12.40718150987844,12.475805755816163
0.32,0.09653303775632391,0.015116670301491865,2.798033214847814,0.4423290940210206,0.06926688763231555,12.821014708855746,0.002798033214847814,9.770947292595465E-5,-1.294444739234081,-0.20270463668507482,12.821014708855746,12.887788581341633
0.33,0.10102777322324268,0.01582052709213121,2.9283141986508885,0.45664187956152025,0.07150821003488875,13.23587422503924,0.0029283141986508887,1.0225898513049994E-4,-1.2977857038338452,-0.20322781777952123,13.23587422503924,13.300899059088188
0.34,0.1056656643689052,0.016546801463814865,3.062744584081934,0.4709544178873285,0.07374949372467438,13.650726575645706,0.003062744584081934,1.0695339763282431E-4,-1.301059988632986,-0.20374055709584465,13.650726575645706,13.714102353113285
0.35000000000000003,0.11044713818938795,0.017295560282343997,3.2013367477244747,0.4853398829415326,0.07600219743536633,14.06769272493752,0.0032013367477244747,1.1179314263274808E-4,-1.3041880768006573,-0.20423040263063497,14.06769272493752,14.129493805522111
0.36,0.11537227867971997,0.018066816700989124,3.3440931241945404,0.4996832517477182,0.07824830904953863,14.48343870440029,0.0033440931241945403,1.167783051489364E-4,-1.3072783896405737,-0.20471433270696188,14.48343870440029,14.543757473574608
0.37,0.12044086615447931,0.018860536317931248,3.4910073458575708,0.5140358096878161,0.08049585964368024,14.899451033109914,0.003491007345857571,1.2190866281869064E-4,-1.3102730006497758,-0.20518327627653643,14.899451033109914,14.958360759158586
0.38,0.12565272483118187,0.019676691606367938,3.642074317616172,0.5282992256726381,0.08272945098014949,15.312879560900223,0.003642074317616172,1.2718403771728908E-4,-1.313264742583994,-0.20565177056095835,15.312879560900223,15.370466400909404
0.39,0.13100647437097424,0.02051506641100319,3.7972540300181463,0.5424632926408228,0.08494748467579243,15.723428433653517,0.0037972540300181463,1.3260303268387418E-4,-1.3162553899486598,-0.20612009344036258,15.723428433653517,15.779772351105471
0.4,0.13650228494013306,0.02137568737916479,3.9565514153737693,0.5566792816439982,0.08717364914513293,16.13548227902408,0.003956551415373769,1.38165819958516E-4,-1.3190912128546897,-0.20656417145655526,16.13548227902408,16.19062873274105
0.41000000000000003,0.1421401106323316,0.022258547322113822,4.119965143077167,0.5708828294197081,0.08939786537024418,16.547175512437427,0.004119965143077167,1.4387235307543363E-4,-1.3218339825983236,-0.20699367773638538,16.547175512437427,16.601177937109867
0.42,0.1479199524063321,0.02316364638998846,4.287495240918296,0.5851078321756492,0.09162544135559937,16.959490623590312,0.004287495240918296,1.4972263300507368E-4,-1.3244478671119024,-0.20740300112779975,16.959490623590312,17.012392552760527
