time [sec],pos_east [m],pos_north [m],pos_up [m],vel_east [m/s],vel_north [m/s],vel_up [m/s],omega_roll [rad/s],omega_pitch [rad/s],omega_yaw [rad/s],quat0,quat1,quat2,quat3,yaw [deg],pitch [deg],roll [deg],Mass [kg],Lcg [m],Lcg_prop [m],Lcp [m],Ij_roll [kg m2],Ij_pitch [kg m2],Altitude [km],Downrange [km],vel_air_east [m/s],vel_air_north [m/s],vel_air_up [m/s],vel_air_BODY_x [m/s],vel_air_BODY_y [m/s],vel_air_BODY_z [m/s],vel_air_abs [m/s],alpha [deg],beta [deg],Mach,Dynamics Pressure [kPa],Fst,Drag [N],Normal Force [N],Side Force [N],Thrust [N],Force_BODY_x [N],Force_BODY_y [N],Force_BODY_z [N],Acc_east [m/s2],Acc_north [m/s2],Acc_up [m/s2],Acc_BODY_x [m/s2],Acc_BODY_y [m/s2],Acc_BODY_z [m/s2],Acc_abs [m/s2],Atomospheric Pressure [Pa]
0.1,0.032875768190083005,0.005148207910873515,0.9529120133118701,0.1298499691662784,0.020333962528978056,3.7637324497271414,0.0,0.0,0.0,-0.053897911846684736,0.7171712948364415,0.055812921567253905,0.692564269037406,8.899999999999999,-87.99999999999986,180.0,8.261967857142858,1.2562848737483137,1.8092833352460058,1.465,0.023515565818590763,2.7079676738155154,9.529120133118701E-4,3.327642076278118E-5,-1.2372104133988897,-0.19374198044128463,3.7637324497271414,3.717735460127428,4.440892098500626E-16,-1.3828776387114408,3.9665989859244695,-20.40357710440742,6.414673513001458E-15,0.012460890705701437,0.009636195504181011,10.246201583293393,0.11917269575427554,-0.6528462219992706,2.0524809678677252E-16,452.7644686934826,452.64529599772834,-2.0524809678677252E-16,0.6528462219992706,1.967023732555691,0.30802769633452604,44.94384101379985,44.98594718410792,-1.6653345369377348E-16,0.42126529469642926,44.98791958403793,101313.55279202467
0.11,0.03425001554472895,0.005363409303637302,0.9927449019589926,0.14485868758166584,0.022684265111458206,4.198763746935034,0.0,0.0,0.0,-0.053897911846684736,0.7171712948364415,0.055812921567253905,0.692564269037406,8.899999999999999,-87.99999999999986,180.0,8.260710642857143,1.2561715335623918,1.809035029619494,1.465,0.02351508701863536,2.707343734371255,9.927449019589926E-4,3.46674158854178E-5,-1.2346990757191623,-0.1933487154555086,4.198763746935034,4.1525904605550785,4.440892098500626E-16,-1.3955196175020035,4.380808434059401,-18.575438299051854,5.8081602596191325E-15,0.013762117955554215,0.011753734431390099,10.251765657221814,0.14536070970756565,-0.7249597965154135,2.266801252359856E-16,436.29179787681016,436.1464371671026,-2.266801252359856E-16,0.7249597965154135,1.9070780121506652,0.2986404470320061,42.95581704086857,42.99701669035187,-2.220446049250313E-16,0.430007022278341,42.99916685599392,101313.07430759589
0.12,0.03577210967948837,0.005601762884315804,1.0368631649306033,0.159585290585609,0.024990389599465264,4.625617861387795,0.0,0.0,0.0,-0.053897911846684736,0.7171712948364415,0.055812921567253905,0.692564269037406,8.899999999999999,-87.99999999999986,180.0,8.25945342857143,1.2560582851407511,1.8087871557433226,1.465,0.023514608237055402,2.7067209827387484,0.0010368631649306033,3.620805957702572E-5,-1.2333671390740957,-0.1931401397430487,4.625617861387795,4.579231597426353,4.440892098500626E-16,-1.4090692637516693,4.7911207679328625,-17.10358536780456,5.310748504193139E-15,0.015051104752775796,0.014058524606206503,10.257325226276336,0.17386449609936977,-0.798409846073775,2.4791023663090866E-16,433.18080474488073,433.00694024878135,-2.4791023663090866E-16,0.798409846073775,1.9030428104090529,0.29800855130236037,42.583660096833796,42.62494391152842,-2.7755575615628914E-16,0.4389132222089107,42.627203617849176,101312.54434812699
0.13,0.03744058145871031,0.0058630385924055934,1.0852242189780652,0.1741389630910248,0.027269433894078734,5.047459543931376,0.0,0.0,0.0,-0.053897911846684736,0.7171712948364415,0.055812921567253905,0.692564269037406,8.899999999999999,-87.99999999999986,180.0,8.258196214285714,1.2559451285253018,1.8085397152993905,1.465,0.023514129473845406,2.706099417514845,0.0010852242189780651,3.7896864797795086E-5,-1.2329963032273363,-0.1930820683991676,5.047459543931376,5.000829405121347,4.718447854656915E-16,-1.423416199643375,5.199462319945545,-15.888262442597222,5.199521244481878E-15,0.01633390277725952,0.016556950990692917,10.262880288399522,0.20476301899190213,-0.8734855949283675,2.8585296372008537E-16,431.8160173555621,431.6112543365702,-2.8585296372008537E-16,0.8734855949283675,1.9064814426461938,0.2985470267406673,42.422415595132485,42.46391910465881,-2.7755575615628914E-16,0.44801899230089726,42.466282469089165,101311.96342579146
0.14,0.039255327587214166,0.006147220252313053,1.1378250700658332,0.18880868988000088,0.029566651804507404,5.472665087673926,0.0,0.0,0.0,-0.053897911846684736,0.7171712948364415,0.055812921567253905,0.692564269037406,8.899999999999999,-87.99999999999986,180.0,8.256939,1.2558320637579798,1.808292709978344,1.465,0.023513650728999892,2.705479037295979,0.0011378250700658332,3.9733726993700774E-5,-1.2332052454386768,-0.19311478787629488,5.472665087673926,5.4257685442909445,4.163336342344337E-16,-1.438467018844001,5.6132122408224525,-14.848525535969728,4.2496451385706456E-15,0.017633693549594424,0.019296752504786543,10.268430841532657,0.2386466748521963,-0.9514074240429836,2.7229262087942633E-16,432.6834447986761,432.4447981238239,-2.7229262087942633E-16,0.9514074240429836,1.9195702649349398,0.300596681612953,42.530928088812956,42.57282785564908,-1.6653345369377348E-16,0.45747222436693624,42.57528570030738,101311.33157726617
0.15,0.04121736637012057,0.006454467326364583,1.194695234011669,0.20362705313898152,0.03188714556498762,5.902178895091553,0.0,0.0,0.0,-0.053897911846684736,0.7171712948364415,0.055812921567253905,0.692564269037406,8.899999999999999,-87.99999999999986,180.0,8.255681785714286,1.255719090880746,1.8080461414796332,1.465,0.023513172002513377,2.7048598406781657,0.001194695234011669,4.171967687981121E-5,-1.233882971115086,-0.19322091688500792,5.902178895091553,5.854996762969937,4.718447854656915E-16,-1.454142401694336,6.0328697332856285,-13.947729330332384,4.4812362917898135E-15,0.01895204555223805,0.022289833468987073,10.273976883615807,0.27566268671702604,-1.0323080493649313,3.3166805761426683E-16,442.02091947239694,441.74525678567994,-3.3166805761426683E-16,1.0323080493649313,1.9683808328695755,0.30824021257236406,43.6644226826848,43.70735617938517,-2.220446049250313E-16,0.46728915285365713,43.70985407598627,101310.64844878
0.16,0.04332886661608912,0.006785119440932836,1.2558975742539065,0.21871425595065938,0.0342497384759409,6.339485081319536,0.0,0.0,0.0,-0.053897911846684736,0.7171712948364415,0.055812921567253905,0.692564269037406,8.899999999999999,-87.99999999999986,180.0,8.25442457142857,1.2556062099355874,1.80780001151157,1.465,0.023512693294380386,2.704241826257002,0.0012558975742539065,4.385690969576592E-5,-1.2348440513033836,-0.19337141802614538,6.339485081319536,6.2920026041077435,4.996003610813204E-16,-1.4703763676430355,6.461524853517299,-13.15338625953123,4.430067636061135E-15,0.020298666369273743,0.02556974604148195,10.279518412587763,0.3162260006237395,-1.116768016135139,3.7612807437199036E-16,445.5578409860411,445.2416149854174,-3.7612807437199036E-16,1.116768016135139,1.9933878931963203,0.312156213715135,44.095525640498124,44.13907989063389,-2.220446049250313E-16,0.47754027533662624,44.14166306683891,101309.91328606204
0.17,0.04559152841274429,0.0071394428226351486,1.3214813682394395,0.23380342399604817,0.03661263913428061,6.776848230317218,0.0,0.0,0.0,-0.053897911846684736,0.7171712948364415,0.055812921567253905,0.692564269037406,8.899999999999999,-87.99999999999986,180.0,8.253167357142857,1.255493420964516,1.807554321791385,1.465,0.023512214604595436,2.703624992627667,0.0013214813682394396,4.614714624792899E-5,-1.2362905073223815,-0.19359792699398698,6.776848230317218,6.729048227505012,4.718447854656915E-16,-1.4871033133232778,6.89141250489226,-12.461925039885863,3.922956980625926E-15,0.021649162492413134,0.02908507145083831,10.285055426386057,0.3597007106692892,-1.2035225964700063,3.788634064200962E-16,437.7545670036145,437.3948662929452,-3.788634064200962E-16,1.2035225964700063,1.9712889263916555,0.3086956078650115,43.153193106215056,43.19654075801793,-2.220446049250313E-16,0.488072548717825,43.1992980067028,101309.1254981172
0.18,0.048004490838847134,0.007517302654803283,1.3914216619600033,0.24875459859590304,0.03895393059572372,7.210211606252648,0.0,0.0,0.0,-0.053897911846684736,0.7171712948364415,0.055812921567253905,0.692564269037406,8.899999999999999,-87.99999999999986,180.0,8.251910142857144,1.2553807240095698,1.8073090740452877,1.465,0.023511735933153043,2.70300933838492,0.0013914216619600034,4.8589515123129914E-5,-1.238284388546471,-0.1939101604612583,7.210211606252648,7.162077176701152,4.440892098500626E-16,-1.5042444279986076,7.3183400292818055,-11.861374497856575,3.4768044870696117E-15,0.022990363033209994,0.03280015482852056,10.290587922946996,0.40564586619028253,-1.2918434598317672,3.7866498006164964E-16,434.4529838416593,434.047337975469,-3.7866498006164964E-16,1.2918434598317672,1.9681699159313968,0.3082071838612663,42.75546848857314,42.79894824500822,-2.220446049250313E-16,0.49879783944992506,42.80185475144193,101308.28538568587
0.19,0.05056599968305951,0.007918424235272527,1.4656676091799035,0.2635034353734607,0.04126353679976397,7.637710171957651,0.0,0.0,0.0,-0.053897911846684736,0.7171712948364415,0.055812921567253905,0.692564269037406,8.899999999999999,-87.99999999999986,180.0,8.250652928571428,1.2552681191128128,1.807064270008523,1.465,0.02351125728004773,2.702394862123101,0.0014656676091799035,5.1182240731692534E-5,-1.2408137124250345,-0.19430624201060778,7.637710171957651,7.589225973939592,4.440892098500626E-16,-1.5217225016185743,7.74028360303753,-11.338076049874946,3.2872745698520577E-15,0.024315910384362177,0.0366911544632182,10.296115900205564,0.45376661212623054,-1.3813372439279703,4.0049429677304283E-16,433.55135333039357,433.09758671826734,-4.0049429677304283E-16,1.3813372439279703,1.975210577738925,0.3093097220774299,42.64805732178489,42.691851220256616,-2.7755575615628914E-16,0.5096685592685135,42.69489340252337,101307.39356057646
